#############################################;;;;;;;x
#Misc;;;;;;;x
#############################################;;;;;;;x
term_of_office;Term of Office;;;;;;;;;;;;;
term_of_office_desc;In a democracy, the term of a leader is defined by regular elections, which usually occur every four or five years. In a monarchy, the term of a leader may vary depending on local laws and traditions, but it is typically lifelong or until the monarch chooses to abdicate. In a dictatorship, the leader can remain in power for an indefinite period, often without free and fair elections.;;;;;;;;;;;;;
#############################################;;;;;;;x
#Yankee King;;;;;;;x
#############################################;;;;;;;x
yankee_king_00;His Majesty Emperor Adam §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_01;His Majesty Emperor Alexander §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_02;His Majesty Emperor William §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_03;His Majesty Emperor Henry §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_04;His Majesty Emperor Michael §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_05;His Majesty Emperor Samuel §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_06;His Majesty Emperor Joshua §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_07;His Majesty Emperor George §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_08;His Majesty Emperor John §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_09;His Majesty Emperor Matthew §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_10;His Majesty Emperor Mark §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_11;His Majesty Emperor Luke §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_12;His Majesty Emperor Lucas §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_13;His Majesty Emperor Jeffrey §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_14;His Majesty Emperor Ulysses §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_15;His Majesty Emperor Joseph §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_16;His Majesty Emperor Charles §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_17;His Majesty Emperor Russell §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_18;His Majesty Emperor Benjamin §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_19;His Majesty Emperor Robert §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_20;His Majesty Emperor Christopher §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_21;His Majesty Emperor Richard §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_22;His Majesty Emperor Chester §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_23;His Majesty Emperor Lafayette §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_24;His Majesty Emperor Nathaniel §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_25;His Majesty Emperor Francis §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_26;His Majesty Emperor James §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_27;His Majesty Emperor Donald §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_28;His Majesty Emperor Cyrus §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_29;His Majesty Emperor Ambrose §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_30;His Majesty Emperor Edward §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_31;His Majesty Emperor Eugene §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_32;His Majesty Emperor Augustus §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_33;His Majesty Emperor Norton §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_34;His Majesty Emperor Abner §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_35;His Majesty Emperor Isaac §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_36;His Majesty Emperor Amos §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_37;His Majesty Emperor Thomas §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_38;His Majesty Emperor Randolph §W(§YCharacter§W)\n§WCulture: §YYankee§!;;;;;;;;;;;;;
yankee_king_00_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_01_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_02_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_03_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_04_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_05_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_06_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_07_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_08_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_09_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_10_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_11_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_12_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_13_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_14_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_15_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_16_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_17_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_18_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_19_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_20_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_21_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_22_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
yankee_king_23_desc;This is our leader, an important and influential figure in any organization or group. In the specific case of our current government, we are under a monarchy, which means that our leader remains in office until their death and passes their sovereignty hereditarily to a member of the royal family.;;;;;;;;;;;;;
