#############################################;;;;;;;x
#USA Leaders;;;;;;;x
#############################################;;;;;;;x 
andrew_jackson;Andrew Jackson\n§WLeader of  @USA §YUnited States of America§!\n\n§YAnti-Indigenous\n§W - Native American Cultures: §R-5.0%§!\n§YPopulist§!;;;;;;;;;;;;;
andrew_jackson_desc;§YAndrew Jackson§! was an American lawyer, planter, general, and statesman who served as the seventh president of the United States from 1829 to 1837. Before being elected to the presidency, he gained fame as a general in the U.S. Army and served in both houses of the U.S. Congress. Although often praised as an advocate for ordinary Americans and for his work in preserving the union of states, Jackson has also been criticized for his racial policies, particularly his treatment of Native Americans.;;;;;;;;;;;;;
prov_andrew_jackson;Andrew Jackson\n§WLeader of  @USA §YUnited States of America§!;;;;;;;;;;;;;
martin_van_buren;Martin Van Buren\n§WLeader of  @USA §YUnited States of America\n\n§YThe Little Magician§!;;;;;;;;;;;;;
martin_van_buren_desc;§YMartin Van Buren§! was an American lawyer and statesman who served as the eighth president of the United States from 1837 to 1841. A primary founder of the Democratic Party, he served as New York's attorney general, U.S. senator, then briefly as the ninth governor of New York before joining Andrew Jackson's administration as the tenth United States secretary of state, minister to the United Kingdom, and ultimately the eighth vice president when named Jackson's running mate for the 1832 election. Van Buren won the presidency in 1836, lost re-election in 1840, and failed to win the Democratic nomination in 1844. Later in his life, Van Buren emerged as an elder statesman and an important anti-slavery leader who led the Free Soil Party ticket in the 1848 presidential election.;;;;;;;;;;;;;
william_henry_harrison;William Henry Harrison\n§WLeader of  @USA §YUnited States of America\n\n§YHero of the Battle of Tippecanoe§!;;;;;;;;;;;;;
william_henry_harrison_desc;§YWilliam Henry Harrison§! was an American military officer and politician who served as the ninth president of the United States. Harrison died just 31 days after his inauguration in 1841, and had the shortest presidency in United States history. He was also the first United States president to die in office, and a brief constitutional crisis resulted as presidential succession was not then fully defined in the United States Constitution. Harrison was the last president born as a British subject in the Thirteen Colonies and was the paternal grandfather of Benjamin Harrison, the 23rd president of the United States.;;;;;;;;;;;;;
daniel_webster;Daniel Webster\n§WLeader of  @USA §YUnited States of America\n\n§YSupreme Orator§!;;;;;;;;;;;;;
daniel_webster_desc;§YDaniel Webster§! was an American lawyer and statesman who represented New Hampshire and Massachusetts in the U.S. Congress and served as the 14th and 19th U.S. Secretary of State under Presidents William Henry Harrison, John Tyler, and Millard Fillmore. Webster was one of the most prominent American lawyers of the 19th century, and argued over 200 cases before the U.S. Supreme Court between 1814 and his death in 1852. During his life, he was a member of the Federalist Party, the National Republican Party, and the Whig Party.;;;;;;;;;;;;;
john_caldwell_calhoun;John Caldwell Calhoun\n§WLeader of  @USA §YUnited States of America\n\n§YSlavery Advocate\n§W - Slave Growth: §R0.10%\n§!Persuasive Speaker;;;;;;;;;;;;; 
john_caldwell_calhoun_desc;§YJohn Caldwell Calhoun§! was an American statesman and political theorist from South Carolina who held many important positions including being the seventh vice president of the United States from 1825 to 1832. He adamantly defended slavery and sought to protect the interests of the white South. He began his political career as a nationalist, modernizer, and proponent of a strong national government and protective tariffs. In the late 1820s, his views changed radically, and he became a leading proponent of states' rights, limited government, nullification, and opposition to high tariffs. He saw Northern acceptance of those policies as a condition of the South remaining in the Union. His beliefs and warnings heavily influenced the South's secession from the Union in 1860–1861. He was the first vice president to resign from the position, and the only one to do so until Spiro Agnew resigned in 1973.;;;;;;;;;;;;;
james_gillespie_birney;James Gillespie Birney\n§WLeader of  @USA §YUnited States of America\n\n§YConvincing Abolitionist§!;;;;;;;;;;;;;
james_gillespie_birney_desc;§YJames Gillespie Birney§! was an American abolitionist, politician, and attorney born in Danville, Kentucky. He changed from being a planter and slave owner to abolitionism, publishing the abolitionist weekly The Philanthropist. He twice served as the presidential nominee for the anti-slavery Liberty Party. Birney pursued a legal career in Danville after graduating from the College of New Jersey and studying under Alexander J. Dallas. He volunteered for the campaigns of Henry Clay, served on the town council, and became a Freemason. In 1816, he won election to the Kentucky House of Representatives as a member of the Democratic-Republican Party. In 1818, he established a cotton plantation in Madison County, Alabama, and he won election to the Alabama House of Representatives the following year. Birney eventually sold the plantation and established a legal practice in Huntsville, Alabama, becoming one of the most successful lawyers in the region.;;;;;;;;;;;;;
john_tyler;John Tyler\n§WLeader of  @USA §YUnited States of America\n\n§YThe Accidental President§!;;;;;;;;;;;;;
john_tyler_desc;§YJohn Tyler§! was the tenth president of the United States, serving from 1841 to 1845, after briefly holding office as the tenth vice president in 1841. He was elected vice president on the 1840 Whig ticket with President William Henry Harrison, succeeding to the presidency following Harrison's death 31 days after assuming office. Tyler was a stalwart supporter and advocate of states' rights, including regarding slavery, and he adopted nationalistic policies as president only when they did not infringe on the states' powers. His unexpected rise to the presidency posed a threat to the presidential ambitions of Henry Clay and other Whig politicians and left Tyler estranged from both of the nation's major political parties at the time.;;;;;;;;;;;;;
james_knox_polk;James Knox Polk\n§WLeader of  @USA §YUnited States of America\n\n§YStaunch Expansionist§!;;;;;;;;;;;;;
james_knox_polk_desc;§YJames Knox Polk§! was the 11th president of the United States, serving from 1845 to 1849. He previously was the 13th speaker of the House of Representatives (1835–1839) and ninth governor of Tennessee (1839–1841). A protégé of Andrew Jackson, he was a member of the Democratic Party and an advocate of Jacksonian democracy. Polk is chiefly known for extending the territory of the United States through the Mexican–American War; during his presidency, the United States expanded significantly with the annexation of the Republic of Texas, the Oregon Territory, and the Mexican Cession following American victory in the Mexican–American War.;;;;;;;;;;;;;
henry_clay;Henry Clay\n§WLeader of  @USA §YUnited States of America\n\n§YThe Great Peacemaker§!;;;;;;;;;;;;;
henry_clay_desc;§YHenry Clay§! was an American attorney and statesman who represented Kentucky in both the U.S. Senate and House of Representatives. He was the seventh House speaker as well as the ninth secretary of state. He unsuccessfully ran for president in the 1824, 1832, and 1844 elections. He helped found both the National Republican Party and the Whig Party. For his role in defusing sectional crises, he earned the appellation of the "Great Compromiser" and was part of the "Great Triumvirate" of Congressmen, alongside fellow Whig Daniel Webster and John C. Calhoun.;;;;;;;;;;;;;
zachary_taylor;Zachary Taylor\n§WLeader of  @USA §YUnited States of America\n\n§YHero of the Mexican-American War§!;;;;;;;;;;;;;
zachary_taylor_desc;§YZachary Taylor§! was an American military leader who served as the 12th president of the United States from 1849 until his death in 1850. Taylor was a career officer in the United States Army, rising to the rank of major general and becoming a national hero for his victories in the Mexican–American War. As a result, he won election to the White House despite his vague political beliefs. His top priority as president was to preserve the Union. He died 16 months into his term from a stomach disease, thus having the third shortest presidency in U.S. history.;;;;;;;;;;;;;
millard_fillmore;Millard Fillmore\n§WLeader of  @USA §YUnited States of America\n\n§YModerate Conciliator§!;;;;;;;;;;;;;
millard_fillmore_desc;§YMillard Fillmore§! was the 13th president of the United States, serving from 1850 to 1853, the last to be a member of the Whig Party while in the White House. A former member of the U.S. House of Representatives from Upstate New York, Fillmore was elected as the 12th vice president in 1848, and succeeded to the presidency in July 1850 upon the death of U.S. President Zachary Taylor. Fillmore was instrumental in the passing of the Compromise of 1850, a bargain that led to a brief truce in the battle over the expansion of slavery. He failed to win the Whig nomination for president in 1852 but gained the endorsement of the nativist Know Nothing Party four years later and finished third in the 1856 presidential election.;;;;;;;;;;;;;
lewis_cass;Lewis Cass\n§WLeader of  @USA §YUnited States of America§!;;;;;;;;;;;;;
lewis_cass_desc;§YLewis Cass§! was an American military officer, politician, and statesman. He represented Michigan in the United States Senate and served in the Cabinets of two U.S. Presidents, Andrew Jackson and James Buchanan. He was also the 1848 Democratic presidential nominee. A slave owner himself, he was a leading spokesman for the doctrine of popular sovereignty, which held that the people in each territory should decide whether to permit slavery.;;;;;;;;;;;;;
